index,0,1
2021-05-13,0.688,enb
2021-02-11,0.657,enb
2020-11-12,0.62,enb
2020-08-13,0.611,enb
2020-05-14,0.574,enb
2020-02-13,0.611,enb
2019-11-14,0.557,enb
2019-08-14,0.558,enb
2019-02-14,0.557,enb
2018-11-14,0.051,enb
2018-05-14,0.524,enb
2018-02-14,0.533,enb
2017-11-14,0.479,enb
2017-08-11,0.479,enb
2017-05-11,0.447,enb
2017-02-13,0.446,enb
2016-11-10,0.395,enb
2016-08-11,0.406,enb
2016-05-12,0.412,enb
2016-02-11,0.381,enb
2015-11-12,0.351,enb
2015-08-12,0.355,enb
2015-05-13,0.387,enb
2015-02-11,0.4,enb
2014-11-12,0.309,enb
2014-08-13,0.32,enb
2014-05-13,0.321,enb
2014-02-12,0.318,enb
2013-11-13,0.3,enb
2013-08-13,0.306,enb
2013-05-13,0.312,enb
2013-02-13,0.318,enb
2021-07-14,0.1,arr
2021-06-14,0.1,arr
2021-05-14,0.1,arr
2021-04-14,0.1,arr
2021-03-12,0.1,arr
2021-02-12,0.1,arr
2021-01-14,0.1,arr
2020-12-14,0.1,arr
2020-11-13,0.1,arr
2020-10-14,0.1,arr
2020-09-14,0.1,arr
2020-08-14,0.1,arr
2020-07-14,0.1,arr
2020-06-12,0.09,arr
2020-03-13,0.17,arr
2020-02-13,0.17,arr
2020-01-14,0.17,arr
2019-12-13,0.17,arr
2019-11-14,0.17,arr
2019-10-11,0.17,arr
2019-09-13,0.17,arr
2019-08-14,0.17,arr
2019-07-12,0.17,arr
2019-06-14,0.19,arr
2019-05-14,0.19,arr
2019-04-12,0.19,arr
2019-03-14,0.19,arr
2019-02-14,0.19,arr
2019-01-14,0.19,arr
2018-12-14,0.19,arr
2018-11-14,0.19,arr
2018-10-12,0.19,arr
2018-09-14,0.19,arr
2018-08-14,0.19,arr
2018-07-13,0.19,arr
2018-06-14,0.19,arr
2018-05-14,0.19,arr
2018-04-12,0.19,arr
2018-03-14,0.19,arr
2018-02-14,0.19,arr
2018-01-12,0.19,arr
2017-12-14,0.19,arr
2017-11-14,0.19,arr
2017-10-13,0.19,arr
2017-09-14,0.19,arr
2017-08-11,0.19,arr
2017-07-13,0.19,arr
2017-06-13,0.19,arr
2017-05-11,0.19,arr
2017-04-12,0.19,arr
2017-03-13,0.19,arr
2017-02-13,0.19,arr
2017-01-12,0.19,arr
2016-12-13,0.22,arr
2016-11-10,0.22,arr
2016-10-12,0.22,arr
2016-09-13,0.22,arr
2016-08-11,0.22,arr
2016-07-13,0.22,arr
2016-06-13,0.22,arr
2016-05-12,0.22,arr
2016-04-13,0.27,arr
2016-03-11,0.33,arr
2016-02-10,0.33,arr
2016-01-13,0.33,arr
2015-12-14,0.33,arr
2015-11-12,0.33,arr
2015-10-13,0.33,arr
2015-09-11,0.33,arr
2015-08-13,0.33,arr
2015-07-13,0.32,arr
2015-06-11,0.32,arr
2015-05-13,0.32,arr
2015-04-13,0.32,arr
2015-03-11,0.32,arr
2015-02-11,0.32,arr
2015-01-13,0.32,arr
2014-12-11,0.4,arr
2014-11-13,0.4,arr
2014-10-10,0.4,arr
2014-09-11,0.4,arr
2014-08-13,0.4,arr
2014-07-11,0.4,arr
