,Comp_Name,Div_Rate,Div_Yield,Ex_Div,Industry,Price,Price2Book,QuickRatio,Sector,Ticker,Tot.Cash/Share,FCF
0,"Williams Companies, Inc. (The)",1.64,6.95,2021-03-11,Oil & Gas Midstream,23.61,2.44,0.50,Energy,wmb,0.12,2.22B
1,"Inter Parfums, Inc. (IPAR)",1.00,1.34,2021-03-12,Household & Personal Products,76.06,4.49,2.72,Consumer Defensive,ipar,9.37,52.73M
2,"MarketAxess Holdings, Inc. (MKTX)",2.64,0.52,2021-02-09,Capital Markets,507.46,19.24,6.66,Financial Services,mktx,10.43,358.86M
3,Coca-Cola Company (The),1.68,3.09,2021-06-14,Beverages\xe2\x80\x94Non-Alcoholic,54.47,11.54,0.99,Consumer Defensive,ko,2.92,8.67B
4,Calamos Global Dynamic Income F (CHW),0.84,8.09,2021-04-13,Asset Management,10.38,1.29,0.18,Financial Services,chw,0,61.86M
5,Ares Commercial Real Estate Cor (ACRE),1.32,9.19,2021-03-30,REIT\xe2\x80\x94Mortgage,14.36,1.00,6.41,Real Estate,acre,2.26,31.49M
6,PIMCO Income Strategy Fund II (PFN),0.96,9.28,2021-04-09,Asset Management,10.35,1.10,0.08,Financial Services,pfn,0.05,-38.49M
7,Johnson & Johnson (JNJ),4.24,2.57,2021-05-24,Drug Manufacturers\xe2\x80\x94General,165.52,6.89,0,Healthcare,jnj,9.67,20.19B
8,Ellington Financial Inc. (EFC),1.68,9.24,2021-04-29,Mortgage Finance,18.18,1.03,1.12,Financial Services,efc,3.79,119.51M
9,"Orchid Island Capital, Inc. (ORC)",0.78,14.47,2021-04-29,REIT\xe2\x80\x94Mortgage,5.39,0.99,0.07,Real Estate,orc,2.83,55.37M
10,Imperial Oil Limited (IMO),0.70,2.74,2021-03-01,Oil & Gas Integrated,25.50,0.87,0.80,Energy,imo,1.05,-70.00M
11,Brookfield Asset Management Inc (BAM),0.52,1.15,2021-02-25,Asset Management,45.33,2.16,0.59,Financial Services,bam,6.58,4.33B
12,Magellan Midstream Partners L.P (MMP),4.11,8.86,2021-02-04,Oil & Gas Midstream,46.40,4.49,0.31,Energy,mmp,0.06,667.80M
13,"Lumen Technologies, Inc. (LUMN)",1.00,7.69,2021-03-05,Telecom Services,13.04,0,0.37,Communication Services,lumn,0.37,2.79B
14,Prospect Capital Corporation (PSEC),0.72,8.98,2021-04-29,Asset Management,8.09,0.90,0.60,Financial Services,psec,0.13,429.44M
15,"LTC Properties, Inc. (LTC)",2.28,5.31,2021-05-19,REIT\xe2\x80\x94Healthcare Facilities,42.94,2.20,1.89,Real Estate,ltc,0.2,116.10M
16,Capstead Mortgage Corporation (CMO),0.60,9.36,2021-03-30,REIT\xe2\x80\x94Mortgage,6.45,0.94,0.05,Real Estate,cmo,2.66,158.34M
17,Lockheed Martin Corporation (LMT),10.40,2.76,2021-02-26,Aerospace & Defense,377.29,16.62,1.09,Industrials,lmt,10.55,6.42B
18,Artisan Partners Asset Manageme (APAM),3.08,5.73,2021-02-11,Asset Management,54.97,19.23,1.54,Financial Services,apam,3.16,315.58M
19,"Kinder Morgan, Inc. (KMI)",1.08,6.44,2021-04-29,Oil & Gas Midstream,16.78,1.18,0.30,Energy,kmi,0.61,2.84B
20,Main Street Capital Corporation (MAIN),2.46,5.74,2021-04-28,Asset Management,42.82,1.91,0.98,Financial Services,main,0.47,-54.08M
21,Sunoco LP (SUN),3.30,9.83,2021-02-05,Oil & Gas Refining & Marketing,33.58,4.43,0.62,Energy,sun,1.16,378.00M
22,"Barings BDC, Inc. (BBDC)",0.76,7.39,2021-03-09,Credit Services,10.27,0.93,11.54,Financial Services,bbdc,1.36,-218.13M
23,Procter & Gamble Company (The),3.48,2.60,2021-04-22,Household & Personal Products,133.94,7.17,0.46,Consumer Defensive,pg,4.09,14.33B
24,Iron Mountain Incorporated (Del (IRM),2.47,6.14,2021-03-12,REIT\xe2\x80\x94Specialty,40.32,10.23,0.53,Real Estate,irm,0.71,534.40M
