Comp_Name,Div_Rate,Div_Yield,Ex_Div,Industry,Price,Price2Book,QuickRatio,Sector,Ticker,Tot.Cash/Share,FCF
U.S. Bancorp (USB),1.84,3.23,2021-06-29,Banks\xe2\x80\x94Regional,56.99,1.87,0.0,Financial Services,usb,31.19,3.72B
"Home Depot, Inc. (The)",6.60,2.05,2021-06-02,Home Improvement Retail,319.22,194.53,0.37,Consumer Cyclical,hd,6.25,16.38B
Johnson & Johnson (JNJ),4.24,2.50,2021-05-24,Drug Manufacturers\xe2\x80\x94General,170.42,6.82,0.97,Healthcare,jnj,9.35,20.19B
Whitestone REIT (WSR),0.43,5.37,2021-08-02,REIT\xe2\x80\x94Retail,8.00,1.03,1.41,Real Estate,wsr,0.53,42.78M
Ares Commercial Real Estate Cor (ACRE),1.32,8.88,2021-06-29,REIT\xe2\x80\x94Mortgage,14.86,1.04,16.55,Real Estate,acre,2.43,31.49M
INVESCO MORTGAGE CAPITAL INC (IVR),0.36,10.81,2021-07-02,REIT\xe2\x80\x94Mortgage,3.33,0.89,0.03,Real Estate,ivr,0.88,170.46M
Green Plains Partners LP (GPP),0.48,3.90,2021-05-06,Oil & Gas Midstream,12.15,0,0.18,Energy,gpp,0,47.63M
"Barings BDC, Inc. (BBDC)",0.80,7.45,2021-06-08,Credit Services,10.64,0.95,7.52,Financial Services,bbdc,0.57,-218.13M
New Senior Investment Group Inc (SNR),0.26,2.87,2021-06-03,REIT\xe2\x80\x94Residential,9.19,3.88,1.23,Real Estate,snr,0.34,39.87M
SL Green Realty Corp (SLG),3.64,4.68,2021-06-29,REIT\xe2\x80\x94Office,77.79,1.15,2.97,Real Estate,slg,4.4,554.24M
Uniti Group Inc. (UNIT),0.60,5.54,2021-06-17,REIT\xe2\x80\x94Specialty,10.77,0,0.77,Real Estate,unit,0.52,-159.85M
"AG Mortgage Investment Trust, I (MITT)",0.28,6.53,2021-06-29,REIT\xe2\x80\x94Mortgage,3.84,0.78,0.68,Real Estate,mitt,1.11,4.16M
Chevron Corporation (CVX),5.36,5.16,2021-05-18,Oil & Gas Integrated,101.97,1.49,0.77,Energy,cvx,3.69,1.66B
"Sixth Street Specialty Lending, (TSLX)",1.64,7.00,2021-06-14,Asset Management,23.44,1.42,0.10,Financial Services,tslx,0.05,145.07M
Main Street Capital Corporation (MAIN),2.46,5.95,2021-07-28,Asset Management,41.37,1.83,1.65,Financial Services,main,0.95,-54.08M
"Presidio Property Trust, Inc. (SQFT)",0.41,9.15,2021-06-04,REIT\xe2\x80\x94Diversified,4.41,1.34,0.93,Real Estate,sqft,0.31,3.69M
"DCP Midstream,  LP (DCP)",1.56,5.37,2021-04-29,Oil & Gas Midstream,28.62,1.18,0.61,Energy,dcp,0.03,939.00M
"Pfizer, Inc. (PFE)",1.56,3.93,2021-07-29,Drug Manufacturers\xe2\x80\x94General,39.95,3.26,1.01,Healthcare,pfe,2.44,11.61B
"TJX Companies, Inc. (The)",1.04,1.52,2021-08-11,Apparel Retail,68.64,13.49,0.95,Consumer Cyclical,tjx,7.27,3.99B
Lockheed Martin Corporation (LMT),10.40,2.75,2021-08-31,Aerospace & Defense,376.82,16.60,1.09,Industrials,lmt,10.55,6.42B
Visa Inc. (V),1.28,0.53,2021-05-13,Credit Services,245.99,15.29,1.71,Financial Services,v,8.69,9.70B
PPL Corporation (PPL),1.66,5.91,2021-06-09,Utilities\xe2\x80\x94Regulated Electric,28.07,1.87,0.09,Utilities,ppl,0.55,-503.00M
Bank of America Corporation (BAC),0.84,2.16,2021-06-03,Banks\xe2\x80\x94Diversified,38.86,1.34,0,Financial Services,bac,93.75,37.99B
Broadmark Realty Capital Inc. (BRMK),0.84,8.10,2021-06-29,REIT\xe2\x80\x94Mortgage,10.32,1.17,65.25,Real Estate,brmk,1.54,61.34M
Antero Midstream Corporation (AM),0.90,8.68,2021-04-27,Oil & Gas Midstream,10.03,2.03,1.13,Energy,am,0,556.66M
Bristol-Myers Squibb Company (BMY),1.96,2.90,2021-07-01,Drug Manufacturers\xe2\x80\x94General,67.88,4.03,1.26,Healthcare,bmy,5.88,13.30B
Falcon Minerals Corporation (FLMN),0.40,7.97,2021-05-24,Oil & Gas E&P,4.77,1.62,3.37,Energy,flmn,0.06,25.00M
First Trust Energy Infrastructu (FIF),0.75,5.56,2021-07-01,Asset Management,13.39,0,0,Financial Services,fif,0,85.46M
Cushing Renaissance Fund (The),2.56,5.24,2020-06-12,Asset Management,48.60,0,0,Financial Services,szc,0,-6.45M
Ellington Financial Inc. (EFC),1.80,10.18,2021-07-29,Mortgage Finance,17.68,0.97,0.96,Financial Services,efc,6.15,119.51M
Chimera Investment Corporation (CIM),1.32,9.03,2021-06-29,REIT\xe2\x80\x94Mortgage,14.32,0.93,2.70,Real Estate,cim,1.38,257.90M
"Plains All American Pipeline, L (PAA)",0.72,6.75,2021-07-29,Oil & Gas Midstream,10.53,0.99,0.73,Energy,paa,0.04,776.00M
"Dynex Capital, Inc. (DX)",1.56,8.66,2021-07-21,REIT\xe2\x80\x94Mortgage,18.01,0.89,0.22,Real Estate,dx,14.21,173.95M
"General Mills, Inc. (GIS)",2.04,3.45,2021-07-08,Packaged Foods,59.27,3.80,0.44,Consumer Defensive,gis,3.07,2.45B
Viper Energy Partners LP (VNOM),0.52,2.85,2021-05-12,Oil & Gas Midstream,17.61,1.87,0.94,Energy,vnom,0.18,130.88M
Investcorp Credit Management BD (ICMB),0.60,9.35,2021-06-17,Asset Management,6.42,0.81,4.20,Financial Services,icmb,5.74,-10.55M
