Comp_Name,Div_Rate,Div_Yield,Ex_Div,Industry,Price,Price2Book,QuickRatio,Sector,Ticker,Tot.Cash/Share,FCF
Enbridge Inc (ENB),2.63,6.75,2021-02-11,Oil & Gas Midstream,39.54,1.49,0.39,Energy,enb,0.22,4.16B
"ARMOUR Residential REIT, Inc. (ARR)",1.20,10.49,2021-06-14,REIT\xe2\x80\x94Mortgage,10.90,0.74,0.24,Real Estate,arr,6.93,-257.82M
Two Harbors Investment Corp (TWO),0.68,8.41,2021-06-28,REIT\xe2\x80\x94Mortgage,6.58,0.89,0.11,Real Estate,two,4.71,11.21M
BP Prudhoe Bay Royalty Trust (BPT),0,0,2020-01-16,Oil & Gas Refining & Marketing,4.24,0,0.27,Energy,bpt,0.01,
First Trust Energy Infrastructu (FIF),0.75,5.58,2021-07-01,Asset Management,13.39,0,0,Financial Services,fif,0,85.46M
MPLX LP (MPLX),2.75,9.31,2021-05-06,Oil & Gas Midstream,28.53,2.45,1.00,Energy,mplx,0.02,3.34B
"General Mills, Inc. (GIS)",2.04,3.30,2021-04-08,Packaged Foods,59.27,4.08,0.47,Consumer Defensive,gis,4.51,2.45B
Antero Midstream Corporation (AM),0.90,8.56,2021-04-27,Oil & Gas Midstream,10.03,2.03,1.13,Energy,am,0,556.66M
"Alliance Resource Partners, L.P (ARLP)",0.10,1.45,2021-05-06,Thermal Coal,7.39,0.86,0.73,Energy,arlp,0.27,279.54M
Prospect Capital Corporation (PSEC),0.72,8.91,2021-04-29,Asset Management,8.17,0.91,0.60,Financial Services,psec,0.13,429.44M
Comerica Incorporated (CMA),2.72,3.93,2021-06-14,Banks\xe2\x80\x94Regional,68.58,1.23,0,Financial Services,cma,110.53,849.00M
Chimera Investment Corporation (CIM),1.32,8.63,2021-06-29,REIT\xe2\x80\x94Mortgage,14.32,0.93,2.70,Real Estate,cim,1.38,257.90M
The Kraft Heinz Company (KHC),1.60,3.99,2021-05-27,Packaged Foods,38.99,0.95,0.59,Consumer Defensive,khc,1.93,4.33B
Fidus Investment Corporation (FDUS),1.24,7.25,2021-06-11,Asset Management,16.96,1.00,3.34,Financial Services,fdus,2.46,55.96M
AT&T Inc. (T),2.08,7.23,2021-04-08,Telecom Services,28.26,1.22,0.42,Communication Services,t,1.59,27.45B
Madison Covered Call & Equity S (MCN),0.72,8.96,2021-06-15,0,8.28,1.17,0.02,0,mcn,0,
Ready Capital Corproation (RC),1.68,10.59,2021-06-29,REIT\xe2\x80\x94Mortgage,14.92,0.99,3.30,Real Estate,rc,14.1,68.89M
"DHT Holdings, Inc. (DHT)",0.16,2.46,2021-05-18,Oil & Gas Midstream,5.91,0.91,2.17,Energy,dht,0.31,502.32M
Golar LNG Partners LP - 8.75% S (GMLPF),0,0,0,0,0,25.50,0,0,gmlpf,0,139.72M
Annaly Capital Management Inc (NLY),0.88,9.66,2021-03-30,REIT\xe2\x80\x94Mortgage,8.42,0.94,0.16,Real Estate,nly,1.44,
"Lumen Technologies, Inc. (LUMN)",1.00,7.12,2021-05-28,Telecom Services,13.21,0,0.31,Communication Services,lumn,0.44,
