,Comp_Name,Div_Rate,Div_Yield,Ex_Div,Industry,PE,Sector
0,Antero Midstream Corporation (AM),1.23,13.90%,2021-02-02,Oil & Gas Midstream,1.70,Energy
1,"Black Stone Minerals, L.P. (BSM)",0.70,8.25%,2021-02-12,Oil & Gas E&P,2.38,Energy
2,Chimera Investment Corporation (CIM),1.20,9.62%,2021-03-30,REIT\xe2\x80\x94Mortgage,0.77,Real Estate
3,Capital Product Partners L.P. (CPLP),0.65,5.80%,2021-02-01,Marine Shipping,0.48,Industrials
4,"DCP Midstream,  LP (DCP)",1.56,7.34%,2021-02-04,Oil & Gas Midstream,0.87,Energy
5,"Dynex Capital, Inc. (DX)",1.56,8.46%,2021-03-19,REIT\xe2\x80\x94Mortgage,0.95,Real Estate
6,Ellington Financial Inc. (EFC),1.20,7.44%,2021-03-30,Mortgage Finance,0.91,Financial Services
7,Energy Transfer LP (ET),0.61,7.90%,2021-02-05,Oil & Gas Midstream,1.11,Energy
8,AT&T Inc. (T),2.08,6.93%,2021-01-08,Telecom Services,1.32,Communication Services
9,Verizon Communications Inc. (VZ),2.51,4.40%,2021-04-08,Telecom Services,3.48,Communication Services
10,17547 (FEN),1.48,11.26%,2021-01-22,Asset Management,1.04,Financial Services
11,Falcon Minerals Corporation (FLMN),0.20,4.45%,2021-02-24,Oil & Gas E&P,1.68,Energy
12,Golar LNG Partners LP (GMLP),0.08,2.31%,2021-02-04,Oil & Gas Midstream,0.60,Energy
13,Green Plains Partners LP (GPP),0.48,3.88%,2021-02-04,Oil & Gas Midstream,50.85%,Energy
14,Imperial Oil Limited (IMO),0.70,3.06%,2021-03-01,Oil & Gas Integrated,1.03,Energy
15,Mobile TeleSystems PJSC (MBT),0.81,9.89%,2020-10-08,Telecom Services,3.97,Communication Services
16,Madison Covered Call & Equity S (MCN),0.72,9.59%,2021-03-15,Asset Management,1.06,Financial Services
17,Magellan Midstream Partners L.P (MMP),4.11,9.65%,2021-02-04,Oil & Gas Midstream,4.12,Energy
18,"Altria Group, Inc. (MO)",3.44,6.95%,2021-03-24,Tobacco,32.40,Consumer Defensive
19,MPLX LP (MPLX),2.75,11.13%,2021-02-05,Oil & Gas Midstream,2.14,Energy
20,"New York Mortgage Trust, Inc. (NYMT)",0.40,9.11%,2021-03-24,REIT\xe2\x80\x94Mortgage,0.92,Real Estate
21,Oasis Midstream Partners LP (OMP),2.16,10.76%,2021-03-05,Oil & Gas Midstream,2.86,Energy
22,"Orchid Island Capital, Inc. (ORC)",0.78,13.15%,2021-03-30,REIT\xe2\x80\x94Mortgage,1.07,Real Estate
23,Occidental Petroleum Corporatio (OXY),0.04,0.15%,2021-03-09,Oil & Gas E&P,2.86,Energy
24,"Plains All American Pipeline, L (PAA)",0.72,8.08%,2021-01-28,Oil & Gas Midstream,0.88,Energy
25,ROYAL DUTCH SHELLA (RDSA.AS),0.57,3.40%,2021-02-18,Oil & Gas Integrated,0.86,Energy
26,"Shell Midstream Partners, L.P. (SHLX)",1.84,14.49%,2021-02-01,Oil & Gas Midstream,8.64,Energy
27,"Tanger Factory Outlet Centers,  (SKT)",0.71,4.28%,2021-01-28,REIT\xe2\x80\x94Retail,4.36,Real Estate
28,Sunoco LP (SUN),3.30,10.62%,2021-02-05,Oil & Gas Refining & Marketing,4.15,Energy
29,Cushing Renaissance Fund (The),2.56,6.36%,2020-06-12,Asset Management,0.00%,Financial Services
30,"Targa Resources, Inc. (TRGP)",0.40,1.25%,2021-01-29,Oil & Gas Midstream,2.68,Energy
31,Viper Energy Partners LP (VNOM),0.56,3.61%,2021-03-03,Oil & Gas Midstream,1.61,Energy
32,"Williams Companies, Inc. (The)",1.64,7.13%,2021-03-11,Oil & Gas Midstream,2.43,Energy
33,Exxon Mobil Corporation (XOM),3.48,6.30%,2021-02-09,Oil & Gas Integrated,1.52,Energy
34,"ARMOUR Residential REIT, Inc. (ARR)",1.20,9.95%,2021-03-12,REIT\xe2\x80\x94Mortgage,0.84,Real Estate
35,Eaton Vance Risk-Managed Divers (ETJ),0.91,8.45%,2021-03-23,Asset Management,0.00%,Financial Services
36,"Global Net Lease, Inc. (GNL)",1.60,8.89%,2021-01-08,REIT\xe2\x80\x94Office,1.03,Real Estate
37,Annaly Capital Management Inc (NLY),0.88,9.87%,2021-03-30,REIT\xe2\x80\x94Mortgage,0.98,Real Estate
38,New Residential Investment Corp (NRZ),0.80,7.43%,2020-12-30,REIT\xe2\x80\x94Mortgage,0.99,Real Estate
39,New Senior Investment Group Inc (SNR),0.26,4.23%,2021-03-11,REIT\xe2\x80\x94Residential,2.46,Real Estate
